Order_ID,Order_Date,Category,Subcategory,Quantity,Unit_Price,Discount_%,Sales_Amount,Profit,City,Region
1,2019-07-18,Home & Kitchen,Furniture,3,3822,20,9172.8,744.87,Delhi,South
2,2016-03-28,Clothing,Kids,5,3221,10,14494.5,784.4,Pune,East
3,2018-03-16,Home & Kitchen,Cookware,2,1234,15,2097.8,361.52,Hyderabad,East
4,2017-04-19,Grocery,Snacks,3,2608,5,7432.8,441.01,Bangalore,East
5,2019-06-21,Clothing,Kids,1,3252,20,2601.6,446.2,Hyderabad,West
6,2016-11-11,Electronics,Mobiles,2,2091,0,4182.0,222.45,Pune,East
7,2018-08-13,Home & Kitchen,Decor,4,2606,10,9381.6,2175.26,Bangalore,North
8,2018-10-18,Home & Kitchen,Cookware,2,3893,20,6228.8,1519.31,Pune,East
9,2018-09-22,Electronics,Accessories,4,1066,20,3411.2,435.73,Pune,South
10,2016-08-04,Personal Care,Haircare,4,429,20,1372.8,107.33,Chennai,West
11,2017-06-04,Grocery,Snacks,1,2077,10,1869.3,167.8,Kolkata,South
12,2017-01-13,Clothing,Men,5,3611,5,17152.25,1255.1,Chennai,West
13,2018-11-22,Home & Kitchen,Cookware,5,2781,10,12514.5,2030.46,Delhi,West
14,2018-10-25,Clothing,Men,2,552,10,993.6,153.56,Chennai,North
15,2020-09-10,Electronics,Mobiles,1,613,20,490.4,74.4,Ahmedabad,West
16,2019-04-09,Personal Care,Hygiene,5,1109,20,4436.0,290.1,Delhi,South
17,2017-11-12,Home & Kitchen,Cookware,5,1647,0,8235.0,585.5,Bangalore,East
18,2019-09-16,Home & Kitchen,Cookware,2,2088,15,3549.6,430.42,Ahmedabad,West
19,2019-07-30,Grocery,Snacks,1,2725,20,2180.0,484.28,Chennai,North
20,2016-11-13,Clothing,Men,5,4829,10,21730.5,2491.2,Kolkata,East
21,2019-02-10,Grocery,Dairy,1,4709,15,4002.65,401.69,Pune,South
22,2020-07-06,Grocery,Snacks,1,748,0,748.0,183.5,Bangalore,North
23,2017-01-19,Personal Care,Skincare,3,1757,5,5007.45,1237.49,Kolkata,South
24,2016-07-21,Home & Kitchen,Decor,3,4546,20,10910.4,1925.26,Ahmedabad,North
25,2018-01-21,Clothing,Kids,1,3322,15,2823.7,428.19,Kolkata,West
26,2017-02-06,Clothing,Kids,2,2036,10,3664.8,438.8,Chennai,East
27,2020-07-21,Grocery,Snacks,2,2969,0,5938.0,1099.35,Mumbai,West
28,2019-12-09,Electronics,Appliances,2,312,15,530.4,45.08,Kolkata,West
29,2016-01-02,Home & Kitchen,Furniture,1,3773,20,3018.4,694.48,Delhi,South
30,2019-01-27,Grocery,Snacks,3,2305,10,6223.5,1377.04,Ahmedabad,East
31,2017-09-19,Grocery,Dairy,3,1698,15,4329.9,994.62,Bangalore,North
32,2020-02-05,Clothing,Women,3,2250,20,5400.0,576.63,Ahmedabad,North
33,2019-04-01,Electronics,Accessories,5,4117,0,20585.0,1103.67,Ahmedabad,West
34,2019-05-03,Home & Kitchen,Decor,1,4785,0,4785.0,758.46,Delhi,South
35,2017-03-13,Personal Care,Hygiene,3,275,20,660.0,99.35,Bangalore,South
36,2018-10-16,Grocery,Snacks,5,865,10,3892.5,639.93,Kolkata,West
37,2019-05-28,Grocery,Dairy,5,1119,20,4476.0,1014.7,Bangalore,West
38,2017-05-11,Personal Care,Skincare,5,656,10,2952.0,726.39,Bangalore,South
39,2018-07-16,Personal Care,Skincare,1,3377,10,3039.3,254.99,Mumbai,North
40,2017-11-16,Electronics,Appliances,2,4064,5,7721.6,778.59,Pune,North
41,2019-02-01,Electronics,Mobiles,1,4391,20,3512.8,383.96,Pune,South
42,2017-02-11,Electronics,Mobiles,5,3000,0,15000.0,2633.68,Bangalore,West
43,2017-04-15,Home & Kitchen,Decor,4,4979,10,17924.4,2565.33,Chennai,North
44,2016-11-09,Personal Care,Haircare,2,1765,5,3353.5,719.39,Ahmedabad,South
45,2018-09-19,Home & Kitchen,Furniture,5,3101,15,13179.25,2300.81,Bangalore,North
46,2016-02-16,Personal Care,Haircare,3,4414,5,12579.9,1928.0,Ahmedabad,South
47,2018-04-10,Grocery,Dairy,3,3725,5,10616.25,697.4,Hyderabad,North
48,2018-03-01,Personal Care,Haircare,1,1981,20,1584.8,97.69,Pune,West
49,2019-02-15,Electronics,Accessories,1,4633,20,3706.4,392.83,Kolkata,West
50,2018-05-10,Personal Care,Haircare,3,3197,5,9111.45,1104.26,Hyderabad,North
51,2019-05-28,Grocery,Snacks,5,3168,0,15840.0,1778.56,Ahmedabad,East
52,2017-04-18,Personal Care,Haircare,5,4696,15,19958.0,1689.25,Ahmedabad,West
53,2020-11-16,Electronics,Accessories,5,2899,15,12320.75,1539.14,Pune,South
54,2018-10-12,Electronics,Mobiles,5,4661,5,22139.75,1224.38,Kolkata,East
55,2020-08-25,Clothing,Women,4,1618,0,6472.0,1373.62,Delhi,West
56,2020-05-19,Home & Kitchen,Decor,1,3963,10,3566.7,318.0,Hyderabad,East
57,2017-05-13,Electronics,Mobiles,2,2132,0,4264.0,772.4,Hyderabad,North
58,2018-10-18,Electronics,Accessories,2,164,0,328.0,48.94,Pune,West
59,2019-01-03,Electronics,Mobiles,5,778,20,3112.0,757.82,Bangalore,North
60,2018-07-08,Personal Care,Skincare,3,1172,15,2988.6,371.79,Chennai,East
61,2020-09-14,Personal Care,Skincare,5,2376,0,11880.0,1160.05,Ahmedabad,West
62,2017-08-18,Grocery,Beverages,1,1415,20,1132.0,259.35,Mumbai,East
63,2019-06-10,Home & Kitchen,Furniture,3,4221,0,12663.0,1441.84,Ahmedabad,South
64,2020-03-09,Home & Kitchen,Decor,5,3190,10,14355.0,2447.36,Bangalore,South
65,2019-03-20,Personal Care,Skincare,1,1112,20,889.6,210.11,Pune,South
66,2019-04-01,Electronics,Mobiles,5,4380,10,19710.0,1446.98,Bangalore,West
67,2017-05-06,Electronics,Accessories,1,3374,20,2699.2,255.12,Mumbai,North
68,2019-05-02,Clothing,Women,5,3286,10,14787.0,2458.5,Hyderabad,West
69,2017-05-25,Home & Kitchen,Furniture,1,1374,15,1167.9,140.2,Bangalore,South
70,2018-05-25,Clothing,Men,3,763,5,2174.55,252.36,Ahmedabad,South
71,2018-01-23,Personal Care,Skincare,4,3759,5,14284.2,2831.05,Kolkata,West
72,2018-10-21,Grocery,Staples,3,2046,15,5217.3,1264.85,Chennai,East
73,2018-04-03,Grocery,Snacks,1,183,5,173.85,9.12,Kolkata,West
74,2019-03-18,Personal Care,Hygiene,5,4348,15,18479.0,1196.69,Delhi,South
75,2019-11-26,Home & Kitchen,Furniture,1,3426,0,3426.0,601.3,Ahmedabad,South
76,2018-11-01,Grocery,Staples,2,2833,15,4816.1,343.63,Hyderabad,East
